,category_filtered,2014-Blockzilla,2015-Blockzilla,2016-Blockzilla,2017-Blockzilla,2018-Blockzilla,2019-Blockzilla,2020-Blockzilla,2021-Blockzilla
0, Education/Reference ,23,30.5,14.5,10,16.33333333,8.333333333,9.666666667,3.333333333
1, Entertainment ,23,11.66666667,9.5,14.25,13.75,8.25,5.25,6.25
2, Pharmacy,18,14,15,7,14,1,1,1
3, Internet Radio/TV,16.5,20.5,8.5,13.5,4.5,1,1,1
4, Finance/Banking ,13,12.5,27.5,13,16.5,8,14.5,4
5, Public Information,11.66666667,5.333333333,5,3.333333333,3.333333333,2.333333333,1.666666667,2
6, Health,10,7,11,26.5,13.33333333,7,9.333333333,10.66666667
7, Portal Sites,9.636363636,7.515151515,10.36363636,8.636363636,6.741935484,7.636363636,8.15625,9.2
8, Sports,9,9.5,7.75,6.384615385,6.416666667,10.15384615,8.307692308,6.833333333
9, Business ,8.666666667,4,7.75,35.25,8.25,11.2,7,5.8
10, Restaurants,8,8,3,7,9,3,1,7
11, Stock Trading,8,10.33333333,4,1.333333333,3.75,5,4.5,3.5
12, Personal Network Storage ,7.666666667,6.25,4.75,6.5,6.5,7.75,5.25,3.5
13, Interactive Web Applications,7.555555556,6.375,4.555555556,3.666666667,4.428571429,4,4,3
14, Finance/Banking,7.318181818,7.227272727,6.454545455,5.590909091,6.85,6.714285714,6.5,4.5
15, Social Networking,7.222222222,10.3,10.54545455,9.090909091,10.3,7.9,4.090909091,4.272727273
16, Real Estate,7.2,4.8,9,8.25,6,9,11.33333333,7.5
17, Education/Reference,7.176470588,7.75,7.266666667,7.25,7.5,5.8,5.333333333,4.153846154
18, General News,7.125,6.461538462,8.073170732,9.951219512,11.37209302,9.186046512,11.06976744,11.86956522
19, Art/Culture/Heritage,7,7,16,12,10,22,4,2
20, Media Sharing,7,1,5,1,3,1.666666667,2.333333333,4
21, Fashion/Beauty,7,8.5,2,8.5,5.5,13,3.5,5
22, Online Shopping ,6.75,5.142857143,6,8.666666667,4.714285714,5.75,5.555555556,5.25
23, Entertainment,6.375,8.692307692,5.285714286,8.466666667,6.5625,7.888888889,4.947368421,3.947368421
24, Software/Hardware,6,6.666666667,7.181818182,5.9,5.1,4.222222222,7.4,4.2
25, Forum/Bulletin Boards,6,3,2.5,2,1.75,3.5,0.75,1.25
26, Shareware/Freeware,6,5.75,4.25,3,4,4.25,1.25,1.5
27, Travel,6,7.285714286,7.5,10.42857143,9.714285714,19,16.85714286,6.428571429
28, Job Search,5.8,9.6,13.5,12.75,17.2,5,12.4,5
29, Marketing/Merchandising,5.666666667,3.125,6.555555556,5.777777778,4.375,3.571428571,3.25,2.714285714
30, Games,5.555555556,5.333333333,4.333333333,5.5,3.6,2.142857143,3,2.5
31, Business,5.4375,4.875,3.517241379,3.862068966,3.933333333,4.52,4.935483871,3.870967742
32, Internet Services,5.352941176,5.171428571,3.942857143,4.666666667,4.696969697,5.1,4.696969697,4.8
33, Recreation/Hobbies,5,5,7,6,7,9,12,5
34, Instant Messaging,4.75,2,2.4,1.75,1.25,1.25,1.25,1
35, Auctions/Classifieds,4.727272727,5.8,7.583333333,5,8.5,11.09090909,10.54545455,7.818181818
36, Pornography,4.727272727,3.727272727,3.3,8.818181818,7.538461538,3.846153846,3.384615385,3.615384615
37, Online Shopping,4.555555556,5.142857143,4.571428571,4.543478261,4.25,4.8125,4.94,4.057692308
38, Blogs/Wiki ,4.5,8.5,5,5.5,6,7.5,3.5,3.5
39, Streaming Media,4.5,6.666666667,9.75,14.5,10.25,3.333333333,3.25,5
40, Streaming Media ,4,4,2.5,4,1,3,2,2
41, Technical Information,4,1,2.333333333,3,3,1.666666667,15.33333333,11
42, Media Downloads,4,5.5,6,10,2,0.666666667,3,1
43, Blogs/Wiki,3.636363636,3.727272727,4.090909091,5.8,4.090909091,2.909090909,9.111111111,7.454545455
44, Professional Networking,3.5,3,1,2.5,3.5,1,1.5,2
45, Visual Search Engine,3,3,6,1,2,1,1,1
46, Parked Domain,2.5,1,5.5,5,1,1,1,1
47, Search Engines,2.416666667,2.888888889,2.058823529,1.514285714,2.176470588,3.25,3.459459459,7.228571429
48, Technical/Business Forums,2.375,3.222222222,3.166666667,3,4.111111111,6.888888889,7.777777778,2.444444444
49, Personal Network Storage,2.333333333,3.5,3.333333333,9.333333333,8,7,4,0.5
50, Web Meetings,2,2,5,7,11,6,2,2
51, P2P/File Sharing ,1,1,1,2,1,1,1,1
52, Chat ,0,1,0,0,0,0,0,0
53, Chat ,0,0,1,0,0,0,0,0
54, Chat ,0,0,0,12,0,0,0,0
55, Chat ,0,0,0,0,0,0,1,0
56, Chat ,0,0,0,0,0,0,0,1
57, Content Server,0,1,0,0,0,0,0,0
58, Content Server,0,0,1,0,0,0,0,0
59, Content Server,0,0,0,0,0,1,0,0
60, Content Server,0,0,0,0,0,0,1,0
61, Content Server,0,0,0,0,0,0,0,1
62, Dating/Personals,0,1,0,0,0,0,0,0
63, Dating/Personals,0,0,0,1,0,0,0,0
64, Dating/Personals,0,0,0,0,3,0,0,0
65, Dating/Personals,0,0,0,0,0,0,8,0
66, Dating/Personals,0,0,0,0,0,0,0,1
67, Government/Military ,0,9,0,0,0,0,0,0
68, Government/Military ,0,0,5,0,0,0,0,0
69, Government/Military ,0,0,0,5,0,0,0,0
70, Government/Military ,0,0,0,0,5,0,0,0
71, Government/Military ,0,0,0,0,0,5,0,0
72, Government/Military ,0,0,0,0,0,0,5,0
73, Government/Military ,0,0,0,0,0,0,0,5
74, PUPs (potentially unwanted programs),0,7,0,0,0,0,0,0
75, PUPs (potentially unwanted programs),0,0,1,0,0,0,0,0
76, PUPs (potentially unwanted programs),0,0,0,1,0,0,0,0
77, PUPs (potentially unwanted programs),0,0,0,0,1,0,0,0
78, PUPs (potentially unwanted programs),0,0,0,0,0,1,0,0
79, PUPs (potentially unwanted programs),0,0,0,0,0,0,1,0
80, PUPs (potentially unwanted programs),0,0,0,0,0,0,0,1
81, Personal Pages ,0,16,0,0,0,0,0,0
82, Personal Pages ,0,0,17,0,0,0,0,0
83, Personal Pages ,0,0,0,11,0,0,0,0
84, Personal Pages ,0,0,0,0,0,13,0,0
85, Personal Pages ,0,0,0,0,0,0,3,0
86, Personal Pages ,0,0,0,0,0,0,0,3
87, Portal Sites ,0,5,0,0,0,0,0,0
88, Portal Sites ,0,0,6,0,0,0,0,0
89, Portal Sites ,0,0,0,7,0,0,0,0
90, Portal Sites ,0,0,0,0,11,0,0,0
91, Portal Sites ,0,0,0,0,0,10,0,0
92, Portal Sites ,0,0,0,0,0,0,8,0
93, Portal Sites ,0,0,0,0,0,0,0,2
94, Potential Illegal Software,0,12,0,0,0,0,0,0
95, Potential Illegal Software,0,0,0,0,1,0,0,0
96, Potential Illegal Software,0,0,0,0,0,1.666666667,0,0
97, Potential Illegal Software,0,0,0,0,0,0,4.25,0
98, Potential Illegal Software,0,0,0,0,0,0,0,3.2
99, Public Information ,0,4,0,0,0,0,0,0
100, Public Information ,0,0,1,0,0,0,0,0
101, Public Information ,0,0,0,9,0,0,0,0
102, Public Information ,0,0,0,0,9,0,0,0
103, Public Information ,0,0,0,0,0,0,4,0
104, Text Translators,0,9,0,0,0,0,0,0
105, Web Mail,0,1,0,0,0,0,0,0
106, Web Mail,0,0,1,0,0,0,0,0
107, Web Mail,0,0,0,4,0,0,0,0
108, Web Mail,0,0,0,0,1,0,0,0
109, Web Mail,0,0,0,0,0,1,0,0
110, Web Mail,0,0,0,0,0,0,0,1
111, Gambling,0,0,1.5,0,0,0,0,0
112, Gambling,0,0,0,1.5,0,0,0,0
113, Gambling,0,0,0,0,1.5,0,0,0
114, Gambling,0,0,0,0,0,1.5,0,0
115, Gambling,0,0,0,0,0,0,1.5,0
116, Gambling,0,0,0,0,0,0,0,0.5
117, Resource Sharing,0,0,0,1,0,0,0,0
118, Resource Sharing,0,0,0,0,1,0,0,0
119, Resource Sharing,0,0,0,0,0,0,1,0
120, Resource Sharing,0,0,0,0,0,0,0,1
